,train_loss
0,0.0007111458759754896
1,0.011560683846473694
2,0.000593417752534151
3,0.0006828831136226654
4,0.0014162165485322475
5,0.00029493977315723895
6,0.00020022747106850146
7,0.00021138839423656463
8,0.00017034319695085286
9,0.00017506204545497895
10,0.00016590238083153964
11,0.0001551219727844
12,0.00016413660254329442
13,0.00015334357041865587
14,0.00015368820168077947
15,0.000153637588955462
16,0.00014940123539417983
17,0.0001506445650011301
18,0.00014931782614439727
19,0.00014879354275763035
20,0.00014869509264826776
21,0.00014712227974087
22,0.0001476303022354841
23,0.00014754398260265588
24,0.00014667738229036332
25,0.00014707792550325394
26,0.00014680711552500725
27,0.000146279432810843
28,0.000146640008315444
29,0.00014654509723186493
30,0.00014625350013375282
31,0.00014636059291660785
32,0.00014623865019530057
33,0.0001462046569213271
34,0.00014627235010266303
35,0.0001461961818858981
36,0.00014615875668823718
37,0.00014611261431127787
38,0.0001461433619260788
39,0.0001461458532139659
40,0.0001461191801354289
41,0.00014611671678721905
42,0.00014606976881623268
43,0.00014608586207032204
44,0.0001460942719131708
45,0.0001460798131301999
46,0.00014606639742851258
47,0.00014604568015784026
48,0.0001460422622039914
49,0.00014603851828724147
